Authors,Article Title,Publication Year,DOI,WOS ID,
"Trubenova, B; Roizman, D; Rolff, J; Regoes, RR",Modeling Polygenic Antibiotic Resistance Evolution in Biofilms,2022,10.3389/fmicb.2022.916035,WOS:000831271000001,
"Boeye, J; Travis, JMJ; Stoks, R; Bonte, D",More rapid climate change promotes evolutionary rescue through selection for increased dispersal distance,2013,10.1111/eva.12004,WOS:000315184800017,
"Bagawade, R; van Benthem, KJ; Wittmann, MJ",Multi-scale effects of habitat loss and the role of trait evolution,2024,10.1002/ece3.10799,WOS:001138406800001,
"Igler, C; Rolff, J; Regoes, R","Multi-step vs. single-step resistance evolution under different drugs, pharmacokinetics, and treatment regimens",2021,10.7554/eLife.64116,WOS:000661273900001,
"Uecker, H; Hermisson, J",On the Fixation Process of a Beneficial Mutation in a Variable Environment,2011,10.1534/genetics.110.124297,WOS:000293700000015,
"Delaney, O; Letten, AD; Engelstaedter, J",Optimal antimicrobial dosing combinations when drug-resistance mutation rates differ,2025,10.1093/evolut/qpaf123,WOS:001521094200001,
"Ashander, J; Thompson, LC; Sanchirico, JN; Baskett, ML",Optimal investment to enable evolutionary rescue,2019,10.1007/s12080-019-0413-8,WOS:000476843500005,
"Sudo, M; Takahashi, D; Andow, DA; Suzuki, Y; Yamanaka, T",Optimal management strategy of insecticide resistance under various insect life histories: Heterogeneous timing of selection and interpatch dispersal,2018,10.1111/eva.12550,WOS:000426003200012,
"Taylor, NP; Cunniffe, NJ",Optimal Resistance Management for Mixtures of High-Risk Fungicides: Robustness to the Initial Frequency of Resistance and Pathogen Sexual Reproduction,2023,10.1094/PHYTO-02-22-0050-R,WOS:000937944800001,
"Smart, AS; Phillips, BL",Optimizing targeted gene flow to maximize local genetic diversity: when and how to act under various scenarios of environmental change,2023,10.1007/s10592-023-01541-2,WOS:001023684600001,
"Raatz, M; de Azevedo-Lopes, A; Drabik, K; Traulsen, A; Waclaw, B",Pathogen non-planktonic phases within the urinary tract impact early infection and resistance evolution,2024,10.1093/ismejo/wrae191,WOS:001340574400001,
"Kopp, M; Nassar, E; Pardoux, E",Phenotypic lag and population extinction in the moving-optimum model: insights from a small-jumps limit,2018,10.1007/s00285-018-1258-2,WOS:000446715000007,
"Tazzyman, SJ; Bonhoeffer, S",PLASMIDS AND EVOLUTIONARY RESCUE BY DRUG RESISTANCE,2014,10.1111/evo.12423,WOS:000339052000018,
"Aguilée, R; Raoul, G; Rousset, F; Ronce, O",Pollen dispersal slows geographical range shift and accelerates ecological niche shift under climate change,2016,10.1073/pnas.1607612113,WOS:000383954700007,
"Orr, HA; Unckless, RL",Population extinction and the genetics of adaptation,2008,10.1086/589460,WOS:000257986200004,
"Alfaro, M; Ducrot, A",POPULATION INVASION WITH BISTABLE DYNAMICS AND ADAPTIVE EVOLUTION: THE EVOLUTIONARY RESCUE,2018,10.1090/proc/14150,WOS:000445106600020,
"Anciaux, Y; Lambert, A; Ronce, O; Roques, L; Martin, G",Population persistence under high mutation rate: From evolutionary rescue to lethal mutagenesis,2019,10.1111/evo.13771,WOS:000482092600002,
"Xu, KY",Population Rescue through an Increase in the Selfing Rate under Pollen Limitation: Plasticity versus Evolution,2023,10.1086/725425,WOS:001022566100001,
"Goldberg, Y; Friedman, J",Positive interactions within and between populations decrease the likelihood of evolutionary rescue,2021,10.1371/journal.pcbi.1008732,WOS:000620631500010,
"Alexander, HK; Bonhoeffer, S",Pre-existence and emergence of drug resistance in a generalized model of intra-host viral dynamics,2012,10.1016/j.epidem.2012.10.001,WOS:000314510700003,
"Ashander, J; Chevin, LM; Baskett, ML",Predicting evolutionary rescue via evolving plasticity in stochastic environments,2016,10.1098/rspb.2016.1690,WOS:000386489200020,
"Bertram, J; Gomez, K; Masel, J",Predicting patterns of long-term adaptation and extinction with population genetics,2017,10.1111/evo.13116,WOS:000394985200001,
"Patil, S; Ahmed, A; Viossat, Y; Noble, R",Preventing evolutionary rescue in cancer using two-strike therapy,2026,10.1093/genetics/iyaf255,WOS:001667534100001,
"Ribeiro, RM; Bonhoeffer, S",Production of resistant HIV mutants during antiretroviral therapy,2000,10.1073/pnas.97.14.7681,WOS:000088048400006,
"Raatz, M; Traulsen, A",Promoting extinction or minimizing growth? The impact of treatment on trait trajectories in evolving populations,2023,10.1093/evolut/qpad042,WOS:000976111900001,
"Campos, PRA",Quantifying evolutionary rescue probabilities upon standing genetic variation and de novo mutations,2025,10.1103/f5c1-rpc4,WOS:001537528000004,
"Arnscheidt, CW; Rothman, DH",Rate-induced collapse in evolutionary systems,2022,10.1098/rsif.2022.0182,WOS:000805904800002,
"GOLDIE, JH; COLDMAN, AJ; GUDAUSKAS, GA",RATIONALE FOR THE USE OF ALTERNATING NON-CROSS-RESISTANT CHEMOTHERAPY,1982,WOS:A1982NE94800004,WOS:A1982NE94800004,Note: add DOI WOS ID in .bib (2)
"Kouyos, RD; Fouchet, D; Bonhoeffer, S",Recombination and drug resistance in HIV: Population dynamics and stochasticity,2009,10.1016/j.epidem.2008.11.001,WOS:000208232800007,
"Shang, YK; Kasada, M; Kondoh, M",Rescue or murder? The effect of prey adaptation to the predator subjected to fisheries,2024,10.1002/ece3.70336,WOS:001369914100001,
"Marrec, L; Bitbol, AF",Resist or perish: Fate of a microbial population subjected to a periodic presence of antimicrobial,2020,10.1371/journal.pcbi.1007798,WOS:000531366700078,
"Oliveira, VM; Campos, PRA",Resource-based modelling approach to studying evolutionary rescue,2024,10.1103/PhysRevE.110.034406,WOS:001318304700003,
"Nyhoegen, C; Uecker, H",Sequential antibiotic therapy in the laboratory and in the patient,2023,10.1098/rsif.2022.0793,WOS:000906501400008,
"Bonte, D; Hovestadt, T; Poethke, HJ",Sex-specific dispersal and evolutionary rescue in metapopulations infected by male killing endosymbionts,2009,10.1186/1471-2148-9-16,WOS:000263055400002,
"Hangartner, S; Sgrò, CM; Connallon, T; Booksmythe, I",Sexual dimorphism in phenotypic plasticity and persistence under environmental change: An extension of theory and meta-analysis of current data,2022,10.1111/ele.14005,WOS:000772992100001,
"Dekens, L","Sharp habitat shifts, evolutionary tipping points and rescue: Quantifying the perilous path of a specialist species towards a refugium in a changing environment",2024,10.1016/j.tpb.2024.09.001,WOS:001338806000001,
"Wilson, BA; Pennings, PS; Petrov, DA",Soft Selective Sweeps in Evolutionary Rescue,2017,10.1534/genetics.116.191478,WOS:000401126600016,
"Fruet, C; Müller, EL; Loverdo, C; Bitbol, AF",Spatial structure facilitates evolutionary rescue by drug resistance,2025,10.1371/journal.pcbi.1012861,WOS:001463166400001,
"Polechová, J; Barton, N; Marion, G",Species' Range: Adaptation in Space and Time,2009,10.1086/605958,WOS:000271021900002,
"Colijn, C; Cohen, T; Ganesh, A; Murray, M",Spontaneous Emergence of Multiple Drug Resistance in Tuberculosis before and during Therapy,2011,10.1371/journal.pone.0018327,WOS:000289055700047,
"Gunnarsson, EB; Foo, J; Leder, K",Statistical inference of the rates of cell proliferation and phenotypic switching in cancer,2023,10.1016/j.jtbi.2023.111497,WOS:001009542200001,
"Chevin, LM; Cotto, O; Ashander, J",Stochastic Evolutionary Demography under a Fluctuating Optimum Phenotype,2017,10.1086/694121,WOS:000415995200008,
"Austin, DJ; Anderson, RM","Studies of antibiotic resistance within the patient, hospitals and the community using simple mathematical models",1999,10.1098/rstb.1999.0425,WOS:000080160200005,
"Maslo, B; Gignoux-Wolfsohn, SA; Fefferman, NH",Success of Wildlife Disease Treatment Depends on Host Immune Response,2017,10.3389/fevo.2017.00028,WOS:000451560500001,
"TAYLOR, CE; GEORGHIOU, GP",SUPPRESSION OF INSECTICIDE RESISTANCE BY ALTERATION OF GENE DOMINANCE AND MIGRATION,1979,10.1093/jee/72.1.105,WOS:A1979GP21900034,
"Trubenová, B; Krejca, MS; Lehre, PK; Kötzing, T",Surfing on the seascape: Adaptation in a changing environment,2019,10.1111/evo.13784,WOS:000474031600001,
"Tanaka, MM; Wahl, LM",Surviving environmental change: when increasing population size can increase extinction risk,2022,10.1098/rspb.2022.0439,WOS:000806360700012,
"Alejandre, C; Calle-Espinosa, J; Iranzo, J",Synergistic epistasis among cancer drivers can rescue early tumors from the accumulation of deleterious passengers,2024,10.1371/journal.pcbi.1012081,WOS:001251024000001,
"Leidinger, L; Vedder, D; Cabral, JS",Temporal environmental variation may impose differential selection on both genomic and ecological traits,2021,10.1111/oik.08172,WOS:000647857800001,
"Lambert, A; Achaz, G; Le Rouzic, A; Loison, L",The Baldwin Effect Reloaded: Intermediate Levels of Phenotypic Plasticity Favor Evolutionary Rescue,2025,10.1086/737198,WOS:001570676700001,
"Thompson, PL; Fronhofer, EA",The conflict between adaptation and dispersal for maintaining biodiversity in changing environments,2019,10.1073/pnas.1911796116,WOS:000490183000042,
"Bukkuri, A; Pienta, KJ; Amend, SR; Austin, RH; Hammarlund, EU; Brown, JS",The contribution of evolvability to the eco-evolutionary dynamics of competing species,2023,10.1002/ece3.10591,WOS:001083750500001,
"Abu Awad, D; Billiard, S",The double edged sword: The demographic consequences of the evolution of self-fertilization,2017,10.1111/evo.13222,WOS:000401256200005,
"Shibasaki, S; Yamamichi, M",The double-edged effect of environmental fluctuations on evolutionary rescue,2026,10.1093/evolut/qpag034,WOS:001747773400001,
"Han, JX; Wang, RW",The Double-Edged Sword Effect of Assortative Mating on Adaptation,2026,10.1111/1749-4877.70136,WOS:001796390000001,
"Katsuhara, KR; Tachiki, Y; Iritani, R; Ushimaru, A",The eco-evolutionary dynamics of prior selfing rates promote coexistence without niche partitioning under conditions of reproductive interference,2021,10.1111/1365-2745.13768,WOS:000696397800001,
"Alfaro, M; Berestycki, H; Raoul, G","THE EFFECT OF CLIMATE SHIFT ON A SPECIES SUBMITTED TO DISPERSION, EVOLUTION, GROWTH AND NONLOCAL COMPETITION",2017,10.1137/16M1075934,WOS:000396681800019,
"Czuppon, P; Blanquart, F; Uecker, H; Débarre, F",The Effect of Habitat Choice on Evolutionary Rescue in Subdivided Populations,2021,10.1086/714034,WOS:000640009200001,
"Xu, KY",The effects of selfing on multi-step adaptation,2023,10.1093/evolut/qpac029,WOS:001021687300012,
"Svara, F; Rankin, DJ",The evolution of plasmid-carried antibiotic resistance,2011,10.1186/1471-2148-11-130,WOS:000291726600001,
"Revutskaya, O; Neverova, G; Zhdanova, O; Frisman, E",The Evolutionary Dynamics of a Sex-Structured Population with Non-Overlapping Generations,2023,10.3390/math11244971,WOS:001131269200001,
"Fogarty, L; Kandler, A",The fundamentals of cultural adaptation: implications for human adaptation,2020,10.1038/s41598-020-70475-3,WOS:000570035500065,
"Kardos, M; Luikart, G",The Genetic Architecture of Fitness Drives Population Viability during Rapid Environmental Change,2021,10.1086/713469,WOS:000631203600002,
"Xu, KY",The genetic basis of selfing rate evolution,2022,10.1111/evo.14480,WOS:000782881500001,
"Scheiner, SM; Barfield, M; Holt, RD","The genetics of phenotypic plasticity. XV. Genetic assimilation, the Baldwin effect, and evolutionary rescue",2017,10.1002/ece3.3429,WOS:000414873600012,
"Scheiner, SM; Barfield, M; Holt, RD",The genetics of phenotypic plasticity. XVII. Response to climate change,2020,10.1111/eva.12876,WOS:000508668100011,
"Khare, SB; Holt, RD; Scheiner, SM",The genetics of phenotypic plasticity. XVIII. Developmental limits restrict adaptive plasticity,2024,10.1093/evolut/qpae115,WOS:001292216600001,
"Nyhoegen, C; Bonhoeffer, S; Uecker, H",The many dimensions of combination therapy: How to combine antibiotics to limit resistance evolution,2024,10.1111/eva.13764,WOS:001282590900001,
"Yamaguchi, R; Wiley, B; Otto, SP",The phoenix hypothesis of speciation,2022,10.1098/rspb.2022.1186,WOS:000885940200002,
"Lipsitch, M; Levin, BR",The population dynamics of antimicrobial chemotherapy,1997,10.1128/AAC.41.2.363,WOS:A1997WG30300023,
"Orr, HA; Unckless, RL",The Population Genetics of Evolutionary Rescue,2014,10.1371/journal.pgen.1004551,WOS:000341577800040,
"Unckless, RL; Orr, HA",The Population Genetics of Evolutionary Rescue in Diploids: X Chromosomal versus Autosomal Rescue,2020,10.1086/707139,WOS:000519584000013,
"Martin, G; Aguilée, R; Ramsayer, J; Kaltz, O; Ronce, O",The probability of evolutionary rescue: towards a quantitative comparison between theory and evolution experiments,2013,10.1098/rstb.2012.0088,WOS:000311946400009,
"Freitas, O; Campos, PRA",The role of epistasis in evolutionary rescue,2024,10.1140/epje/s10189-024-00445-4,WOS:001280879900002,
"Lande, R; Shannon, S",The role of genetic variation in adaptation and population persistence in a changing environment,1996,10.2307/2410812,WOS:A1996TX89100038,
"Uecker, H; Hermisson, J",The Role of Recombination in Evolutionary Rescue,2016,10.1534/genetics.115.180299,WOS:000371304600028,
"Amirjanov, A",The role of selection on evolutionary rescue,2018,10.1142/S0129183118500171,WOS:000427875800007,
"Tomasini, M; Peischl, S",The role of spatial structure in multi-deme models of evolutionary rescue,2022,10.1111/jeb.14018,WOS:000811117800001,
"Ehrlich, E; Adje, G; Gaedke, U",The role of trade-off shapes for community adaptation and maintenance of ecosystem functions under environmental change,2025,10.1002/ecy.70156,WOS:001561971400007,
"Lauenroth, D; Gokhale, CS",Theoretical assessment of persistence and adaptation in weeds with complex life cycles,2023,10.1038/s41477-023-01482-1,WOS:001042057200001,
"Zeineddine, M; Jansen, VAA","TO AGE, TO DIE: PARITY, EVOLUTIONARY TRACKING AND COLE'S PARADOX",2009,10.1111/j.1558-5646.2009.00630.x,WOS:000266268000010,
"Travis, JMJ; Smith, HS; Ranwala, SMW",Towards a mechanistic understanding of dispersal evolution in plants: conservation implications,2010,10.1111/j.1472-4642.2010.00674.x,WOS:000278646000016,
"Freitas, O; Campos, PRA",Understanding evolutionary rescue and parallelism in response to environmental stress,2024,10.1093/evolut/qpae074,WOS:001278868200001,
"Gunnarsson, EB; De, S; Leder, K; Foo, J",Understanding the role of phenotypic switching in cancer drug resistance,2020,10.1016/j.jtbi.2020.110162,WOS:000517359900002,
"van Eldijk, TJB; Bisschop, K; Etienne, RS",Uniting Community Ecology and Evolutionary Rescue Theory: Community-Wide Rescue Leads to a Rapid Loss of Rare Species,2020,10.3389/fevo.2020.552268,WOS:000588409100001,
"Bonhoeffer, S; May, RM; Shaw, GM; Nowak, MA",Virus dynamics and drug therapy,1997,10.1073/pnas.94.13.6971,WOS:A1997XH03400070,
"Tanaka, MM; Wahl, LM",What drives bacterial extinction? The role of bacteriophages,2026,10.1016/j.tpb.2025.12.001,WOS:001640538400001,
"Chevin, LM; Lande, R",WHEN DO ADAPTIVE PLASTICITY AND GENETIC EVOLUTION PREVENT EXTINCTION OF A DENSITY-REGULATED POPULATION?,2010,10.1111/j.1558-5646.2009.00875.x,WOS:000276035000023,
"GOMULKIEWICZ, R; HOLT, RD",WHEN DOES EVOLUTION BY NATURAL-SELECTION PREVENT EXTINCTION,1995,10.2307/2410305,WOS:A1995RH53700018,
"Tomasini, M; Peischl, S",When does gene flow facilitate evolutionary rescue?,2020,10.1111/evo.14038,WOS:000543670500001,
"Xu, KY; Osmond, MM",When Does the Probability of Evolutionary Rescue Increase with the Strength of Selection despite a Potential Demographic Cost?,2026,10.1086/739607,WOS:001707943800001,
"Osmond, MM; Otto, SP; Klausmeier, CA",When Predators Help Prey Adapt and Persist in a Changing Environment,2017,10.1086/691778,WOS:000403565000009,
"Alfaro, M; Girardin, L; Hamel, F; Rogues, L",When the Allee threshold is an evolutionary trait: Persistence vs. extinction,2021,10.1016/j.matpur.2021.08.007,WOS:000707417900007,
