Authors,Article Title,Source Title,Document Type,Cited Reference Count,"Times Cited, WoS Core",Publication Year,DOI,DOI Link,WOS ID
"Nyhoegen, C; Bonhoeffer, S; Uecker, H",The many dimensions of combination therapy: How to combine antibiotics to limit resistance evolution,EVOLUTIONARY APPLICATIONS,Article,82,4,2024,10.1111/eva.13764,http://dx.doi.org/10.1111/eva.13764,WOS:001282590900001
"Yamaguchi, R; Wiley, B; Otto, SP",The phoenix hypothesis of speciation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,56,11,2022,10.1098/rspb.2022.1186,http://dx.doi.org/10.1098/rspb.2022.1186,WOS:000885940200002
"Lipsitch, M; Levin, BR",The population dynamics of antimicrobial chemotherapy,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,Article,55,191,1997,10.1128/AAC.41.2.363,http://dx.doi.org/10.1128/AAC.41.2.363,WOS:A1997WG30300023
"Orr, HA; Unckless, RL",The Population Genetics of Evolutionary Rescue,PLOS GENETICS,Article,23,136,2014,10.1371/journal.pgen.1004551,http://dx.doi.org/10.1371/journal.pgen.1004551,WOS:000341577800040
"Unckless, RL; Orr, HA",The Population Genetics of Evolutionary Rescue in Diploids: X Chromosomal versus Autosomal Rescue,AMERICAN NATURALIST,Article,29,3,2020,10.1086/707139,http://dx.doi.org/10.1086/707139,WOS:000519584000013
"Martin, G; Aguilée, R; Ramsayer, J; Kaltz, O; Ronce, O",The probability of evolutionary rescue: towards a quantitative comparison between theory and evolution experiments,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,42,90,2013,10.1098/rstb.2012.0088,http://dx.doi.org/10.1098/rstb.2012.0088,WOS:000311946400009
"Freitas, O; Campos, PRA",The role of epistasis in evolutionary rescue,EUROPEAN PHYSICAL JOURNAL E,Article,62,1,2024,10.1140/epje/s10189-024-00445-4,http://dx.doi.org/10.1140/epje/s10189-024-00445-4,WOS:001280879900002
"Lande, R; Shannon, S",The role of genetic variation in adaptation and population persistence in a changing environment,EVOLUTION,Article,22,635,1996,10.1111/j.1558-5646.1996.tb04504.x,http://dx.doi.org/10.2307/2410812,WOS:A1996TX89100038
"Uecker, H; Hermisson, J",The Role of Recombination in Evolutionary Rescue,GENETICS,Article,57,42,2016,10.1534/genetics.115.180299,http://dx.doi.org/10.1534/genetics.115.180299,WOS:000371304600028
"Tomasini, M; Peischl, S",The role of spatial structure in multi-deme models of evolutionary rescue,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,64,5,2022,10.1111/jeb.14018,http://dx.doi.org/10.1111/jeb.14018,WOS:000811117800001
"Lauenroth, D; Gokhale, CS",Theoretical assessment of persistence and adaptation in weeds with complex life cycles,NATURE PLANTS,Article,50,11,2023,10.1038/s41477-023-01482-1,http://dx.doi.org/10.1038/s41477-023-01482-1,WOS:001042057200001
"Zeineddine, M; Jansen, VAA","TO AGE, TO DIE: PARITY, EVOLUTIONARY TRACKING AND COLE'S PARADOX",EVOLUTION,Article,35,20,2009,10.1111/j.1558-5646.2009.00630.x,http://dx.doi.org/10.1111/j.1558-5646.2009.00630.x,WOS:000266268000010
"Travis, JMJ; Smith, HS; Ranwala, SMW",Towards a mechanistic understanding of dispersal evolution in plants: conservation implications,DIVERSITY AND DISTRIBUTIONS,Article,62,63,2010,10.1111/j.1472-4642.2010.00674.x,http://dx.doi.org/10.1111/j.1472-4642.2010.00674.x,WOS:000278646000016
"Freitas, O; Campos, PRA",Understanding evolutionary rescue and parallelism in response to environmental stress,EVOLUTION,Article,130,3,2024,10.1093/evolut/qpae074,http://dx.doi.org/10.1093/evolut/qpae074,WOS:001278868200001
"Gunnarsson, EB; De, S; Leder, K; Foo, J",Understanding the role of phenotypic switching in cancer drug resistance,JOURNAL OF THEORETICAL BIOLOGY,Article,52,49,2020,10.1016/j.jtbi.2020.110162,http://dx.doi.org/10.1016/j.jtbi.2020.110162,WOS:000517359900002
"van Eldijk, TJB; Bisschop, K; Etienne, RS",Uniting Community Ecology and Evolutionary Rescue Theory: Community-Wide Rescue Leads to a Rapid Loss of Rare Species,FRONTIERS IN ECOLOGY AND EVOLUTION,Article,45,6,2020,10.3389/fevo.2020.552268,http://dx.doi.org/10.3389/fevo.2020.552268,WOS:000588409100001
"Bonhoeffer, S; May, RM; Shaw, GM; Nowak, MA",Virus dynamics and drug therapy,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,61,497,1997,10.1073/pnas.94.13.6971,http://dx.doi.org/10.1073/pnas.94.13.6971,WOS:A1997XH03400070
"Chevin, LM; Lande, R",WHEN DO ADAPTIVE PLASTICITY AND GENETIC EVOLUTION PREVENT EXTINCTION OF A DENSITY-REGULATED POPULATION?,EVOLUTION,Article,48,218,2010,10.1111/j.1558-5646.2009.00875.x,http://dx.doi.org/10.1111/j.1558-5646.2009.00875.x,WOS:000276035000023
"GOMULKIEWICZ, R; HOLT, RD",WHEN DOES EVOLUTION BY NATURAL-SELECTION PREVENT EXTINCTION,EVOLUTION,Note,28,661,1995,10.1111/j.1558-5646.1995.tb05971.x,http://dx.doi.org/10.2307/2410305,WOS:A1995RH53700018
"Tomasini, M; Peischl, S",When does gene flow facilitate evolutionary rescue?,EVOLUTION,Article,47,20,2020,10.1111/evo.14038,http://dx.doi.org/10.1111/evo.14038,WOS:000543670500001
"Osmond, MM; Otto, SP; Klausmeier, CA",When Predators Help Prey Adapt and Persist in a Changing Environment,AMERICAN NATURALIST,Article,54,44,2017,10.1086/691778,http://dx.doi.org/10.1086/691778,WOS:000403565000009
